cd_municipio,ds_municipio,sg_estado
41122.0,CAMPO MOURÃO,PR
51071.0,CAXIAS DO SUL,RS
31496.0,MONTES CLAROS,MG
51182.0,NOVO HAMBURGO,RS
67077.0,RONDONÓPOLIS,MT
21256.0,SÃO GONÇALO,RJ
51241.0,SÃO LEOPOLDO,RS
21331.0,VOLTA REDONDA,RJ
21009.0,ANGRA DOS REIS,RJ
31000.0,BELO HORIZONTE,MG
47000.0,FLORIANÓPOLIS,SC
41233.0,FOZ DO IGUAÇU,PR
41323.0,JANDAIA DO SUL,PR
64090.0,PORTO NACIONAL,TO
21000.0,RIO DE JANEIRO,RJ
69033.0,ROLIM DE MOURA,RO
67085.0,VÁRZEA GRANDE,MT
21033.0,BARRA DO PIRAÍ,RJ
21088.0,DUQUE DE CAXIAS,RJ
52542.0,ELDORADO DO SUL,RS
51118.0,FLORES DA CUNHA,RS
98071.0,PAÇO DO LUMIAR,MA
51232.0,ROSÁRIO DO SUL,RS
51261.0,SAPUCAIA DO SUL,RS
67018.0,BARRA DO GARÇAS,MT
51036.0,BENTO GONÇALVES,RS
62327.0,CIDADE OCIDENTAL,GO
71220.0,FEIRA DE SANTANA,BA
71407.0,LAURO DE FREITAS,BA
21063.0,CASIMIRO DE ABREU,RJ
85278.0,JUAZEIRO DO NORTE,CE
51273.0,SANTA CRUZ DO SUL,RS
41919.0,FAZENDA RIO GRANDE,PR
67302.0,PRIMAVERA DO LESTE,MT
41712.0,UNIÃO DA VITÓRIA,PR
41170.0,CORNÉLIO PROCÓPIO,PR
31615.0,RIBEIRÃO DAS NEVES,MG
41544.0,RIBEIRÃO DO PINHAL,PR
71641.0,TEIXEIRA DE FREITAS,BA
41015.0,ALMIRANTE TAMANDARÉ,PR
32503.0,GOVERNADOR VALADARES,MG
21258.0,SÃO JOÃO DE MERITI,RJ
21325.0,SÃO JOÃO DE MERITI,RJ
21264.0,SÃO PEDRO DA ALDEIA,RJ
62198.0,APARECIDA DE GOIÂNIA,GO
21019.0,ARMAÇÃO DOS BÚZIOS,RJ
41115.0,CAMPINA GRANDE DO SUL,PR
21057.0,CAMPOS DOS GOYTACAZES,RJ
64079.0,PARAÍSO DO TOCANTINS,TO
27179.0,SÃO GABRIEL DA PALHA,ES
11563.0,SÃO JOSÉ DOS CAMPOS,SP
41585.0,SÃO JOSÉ DOS PINHAIS,PR
27038.0,CACHOEIRO DE ITAPEMIRIM,ES
62809.0,ÁGUAS LINDAS DE GOIÁS,GO
71945.0,LUÍS EDUARDO MAGALHÃES,BA
41379.0,MARECHAL CÂNDIDO RONDON,PR
62349.0,SANTO ANTÔNIO DO DESCOBERTO,GO
67251.0,SINOP,MT
41136.0,CASTRO,PR
81063.0,GOIANA,PE
47077.0,IÇARA,SC
71600.0,SIMÕES FILHO,BA
51313.0,VENANCIO AIRES,RS
41235.0,FRANCISCO BELTRÃO,PR
21189.0,NOVA FRIBURGO,RJ
47211.0,BALNEÁRIO CAMBORIÚ,SC
41151.0,CIANORTE,PR
31411.0,JOÃO MONLEVADE,MG
41449.0,PALMAS,PR
41527.0,QUATRO BARRAS,PR
31781.0,SANTA RITA DO SAPUCAÍ,MG
41297.0,IRATI,PR
41685.0,TELÊMACO BORBA,PR
41695.0,TOLEDO,PR
71673.0,VITÓRIA DA CONQUISTA,BA
31584.0,POÇOS DE CALDAS,MG
67198.0,TANGARÁ DA SERRA,MT
51259.0,SANTIAGO,RS
41670.0,SANTO ANTONIO DA PLATINA,PR
31710.0,SABARÁ,MG
41162.0,COLORADO,PR
41718.0,WENCESLAU BRAZ,PR
51171.0,MONTENEGRO,RS
47063.0,GAROPABA,SC
21217.0,PINHEIRAL,RJ
51309.0,URUGUAIANA,RS
86040.0,FLORIANO,PI
47082.0,INDAIAL,SC
51281.0,SANTO ÂNGELO,RS
51242.0,SÃO LOURENÇO DO SUL,RS
41032.0,ANDIRÁ,PR
83040.0,CAMPINA GRANDE,PB
81119.0,PETROLINA,PE
32529.0,PATROCÍNIO,MG
71374.0,JEQUIÉ,BA
27139.0,NOVA VENÉCIA,ES
51053.0,CAMPO BOM,RS
67215.0,PONTES E LACERDA,MT
81029.0,CABO DE SANTO AGOSTINHO,PE
71383.0,JUAZEIRO,BA
71362.0,JACOBINA,BA
85300.0,MARACANAÚ,CE
41628.0,SARANDI,PR
98118.0,TIMON,MA
62174.0,SENADOR CANEDO,GO
51293.0,TAQUARA,RS
82048.0,MARECHAL DEODORO,AL
31175.0,CAXAMBU,MG
21574.0,CABO FRIO,RJ
41447.0,PAIÇANDU,PR
31687.0,SÃO LOURENÇO,MG
11885.0,VOTORANTIM,SP
71533.0,PORTO SEGURO,BA
81115.0,PAULISTA,PE
62342.0,NOVO GAMA,GO
47213.0,SÃO JOSÉ,SC
21199.0,PARACAMBI,RJ
47093.0,ITUPORANGA,SC
51049.0,CAMAQUÃ,RS
69015.0,PIMENTA BUENO,RO
44592.0,COLOMBO,PR
11381.0,MOGI DAS CRUZES,SP
11948.0,HORTOLÂNDIA,SP
41609.0,SÃO SEBASTIÃO DA AMOREIRA,PR
81083.0,JABOATÃO DOS GUARARAPES,PE
61049.0,BRASÍLIA,DF
62121.0,MORRINHOS,GO
31272.0,ESMERALDAS,MG
41119.0,CAMPO LARGO,PR
21151.0,PETRÓPOLIS,RJ
21080.0,PETRÓPOLIS,RJ
31178.0,CORONEL FABRICIANO,MG
69013.0,OURO PRETO DO OESTE,RO
98103.0,SÃO JOSÉ DE RIBAMAR,MA
62357.0,VALPARAÍSO DE GOIÁS,GO
44311.0,SÃO JOSÉ DOS PINHAIS,PR
11326.0,JUNDIAI,SP
41225.0,FLORESTA,PR
21140.0,PETRÓPOLIS,RJ
21218.0,PIRAÍ,RJ
21444.0,CABO FRIO,RJ
1501402.0,BELÉM,PA
4316907.0,SANTA MARIA,RS
2927408.0,SALVADOR,BA
4106902.0,CURITIBA,PR
3106200.0,BELO HORIZONTE,MG
,SAO SEBASTIAO,DF
5205497.0,CIDADE OCIDENTAL,GO
3304557.0,RIO DE JANEIRO,RJ
4314902.0,PORTO ALEGRE,RS
1600303.0,MACAPÁ,AP
,ARAPONGAS,PR
4208203.0,ITAJAÍ,SC
2507507.0,JOÃO PESSOA,PB
4314407.0,PELOTAS,RS
4119509.0,PIRAQUARA,PR
4303509.0,CAMAQUÃ,RS
4305108.0,CAXIAS DO SUL,RS
2919553.0,LUÍS EDUARDO MAGALHÃES,BA
4314100.0,PASSO FUNDO,RS
,PALHOCA,SC
5103403.0,CUIABÁ,MT
3305109.0,SÃO JOÃO DE MERITI,RJ
3118601.0,CONTAGEM,MG
3136702.0,JUIZ DE FORA,MG
5208707.0,GOIÂNIA,GO
1302603.0,MANAUS,AM
,SOBRADINHO,DF
5201405.0,APARECIDA DE GOIÂNIA,GO
3159605.0,SANTA RITA DO SAPUCAÍ,MG
3301702.0,DUQUE DE CAXIAS,RJ
5300108.0,BRASÍLIA,DF
3302007.0,ITAGUAÍ,RJ
5108402.0,VÁRZEA GRANDE,MT
5003702.0,DOURADOS,MS
3303500.0,NOVA IGUAÇU,RJ
3302601.0,MANGARATIBA,RJ
3122306.0,DIVINÓPOLIS,MG
2408102.0,NATAL,RN
4103701.0,CAMBÉ,PR
1100205.0,PORTO VELHO,RO
3304144.0,QUEIMADOS,RJ
4106407.0,CORNÉLIO PROCÓPIO,PR
4108304.0,FOZ DO IGUAÇU,PR
,PATO BRANCO,PR
3143302.0,MONTES CLAROS,MG
4214805.0,RIO DO SUL,SC
5201108.0,ANÁPOLIS,GO
,URUGUAIANA,RS
4205407.0,FLORIANÓPOLIS,SC
,VENANCIO AIRES,RS
2924009.0,PAULO AFONSO,BA
4310207.0,IJUÍ,RS
4304606.0,CANOAS,RS
3306305.0,VOLTA REDONDA,RJ
4303103.0,CACHOEIRINHA,RS
,TAGUATINGA,DF
,PLANALTINA,DF
5107602.0,RONDONÓPOLIS,MT
4323002.0,VIAMÃO,RS
,SAMAMBAIA,DF
3305208.0,SÃO PEDRO DA ALDEIA,RJ
4118204.0,PARANAGUÁ,PR
2931350.0,TEIXEIRA DE FREITAS,BA
1200401.0,RIO BRANCO,AC
3169901.0,UBÁ,MG
2304400.0,FORTALEZA,CE
2910800.0,FEIRA DE SANTANA,BA
3306107.0,VALENÇA,RJ
4304705.0,CARAZINHO,RS
2105302.0,IMPERATRIZ,MA
3300704.0,CABO FRIO,RJ
4209102.0,JOINVILLE,SC
4101408.0,APUCARANA,PR
3205309.0,VITÓRIA,ES
4115200.0,MARINGÁ,PR
4218707.0,TUBARÃO,SC
4311809.0,MARAU,RS
,VILAR DOS TELES,RJ
1709500.0,GURUPI,TO
2111300.0,SÃO LUÍS,MA
2800308.0,ARACAJU,SE
5002704.0,CAMPO GRANDE,MS
2211001.0,TERESINA,PI
5200258.0,ÁGUAS LINDAS DE GOIÁS,GO
3201209.0,CACHOEIRO DE ITAPEMIRIM,ES
,UNAMAR,RJ
4316808.0,SANTA CRUZ DO SUL,RS
4318705.0,SÃO LEOPOLDO,RS
5102504.0,CÁCERES,MT
5218805.0,RIO VERDE,GO
4128203.0,UNIÃO DA VITÓRIA,PR
4121901.0,RIBEIRÃO DO PINHAL,PR
3302700.0,MARICÁ,RJ
5219753.0,SANTO ANTÔNIO DO DESCOBERTO,GO
4309209.0,GRAVATAÍ,RS
,GUARA,DF
3300456.0,BELFORD ROXO,RJ
,UMUARAMA,PR
3509502.0,CAMPINAS,SP
4300604.0,ALVORADA,RS
4119905.0,PONTA GROSSA,PR
4205704.0,GAROPABA,SC
1504208.0,MARABÁ,PA
1500800.0,ANANINDEUA,PA
,LAVRAS,MG
2611606.0,RECIFE,PE
1502400.0,CASTANHAL,PA
3152501.0,POUSO ALEGRE,MG
4105805.0,COLOMBO,PR
4125506.0,SÃO JOSÉ DOS PINHAIS,PR
4107900.0,FLORESTA,PR
3143906.0,MURIAÉ,MG
4202909.0,BRUSQUE,SC
3303302.0,NITERÓI,RJ
4109807.0,IBIPORÃ,PR
3201308.0,CARIACICA,ES
3205002.0,SERRA,ES
4119152.0,PINHAIS,PR
3205200.0,VILA VELHA,ES
3300233.0,ARMAÇÃO DOS BÚZIOS,RJ
4317509.0,SANTO ÂNGELO,RS
3550308.0,SÃO PAULO,SP
4313409.0,NOVO HAMBURGO,RS
4101804.0,ARAUCÁRIA,PR
2933307.0,VITÓRIA DA CONQUISTA,BA
,ITAQUARI,ES
5205109.0,CATALÃO,GO
,CEILANDIA,DF
3144805.0,NOVA LIMA,MG
1100049.0,CACOAL,RO
4202404.0,BLUMENAU,SC
2109908.0,SANTA INÊS,MA
3131307.0,IPATINGA,MG
3131703.0,ITABIRA,MG
1721000.0,PALMAS,TO
2504009.0,CAMPINA GRANDE,PB
3300308.0,BARRA DO PIRAÍ,RJ
3154606.0,RIBEIRÃO DAS NEVES,MG
,SANTIAGO,RS
4209300.0,LAGES,SC
5005400.0,MARACAJU,MS
3305802.0,TERESÓPOLIS,RJ
4127106.0,TELÊMACO BORBA,PR
2918407.0,JUAZEIRO,BA
5213806.0,MORRINHOS,GO
4204608.0,CRICIÚMA,SC
2305506.0,IGUATU,CE
4300406.0,ALEGRETE,RS
3304904.0,SÃO GONÇALO,RJ
3303955.0,PINHEIRAL,RJ
,NUCLEO BANDEIRANTE,DF
4113700.0,LONDRINA,PR
3301009.0,CAMPOS DOS GOYTACAZES,RJ
4100400.0,ALMIRANTE TAMANDARÉ,PR
2606200.0,GOIANA,PE
,RIO GRANDE,RS
4308607.0,GARIBALDI,RS
2925303.0,PORTO SEGURO,BA
3303401.0,NOVA FRIBURGO,RJ
2609600.0,OLINDA,PE
3303906.0,PETRÓPOLIS,RJ
4202008.0,BALNEÁRIO CAMBORIÚ,SC
5211909.0,JATAÍ,GO
4104808.0,CASCAVEL,PR
1400100.0,BOA VISTA,RR
5208004.0,FORMOSA,GO
5107958.0,TANGARÁ DA SERRA,MT
2704302.0,MACEIÓ,AL
3167202.0,SETE LAGOAS,MG
3151800.0,POÇOS DE CALDAS,MG
3303203.0,NILÓPOLIS,RJ
3106705.0,BETIM,MG
3170701.0,VARGINHA,MG
1100114.0,JARU,RO
,COLORADO,PR
5003207.0,CORUMBÁ,MS
4109401.0,GUARAPUAVA,PR
4302105.0,BENTO GONÇALVES,RS
,SAPUCAIA DO SUL,RS
2913606.0,ILHÉUS,BA
3127701.0,GOVERNADOR VALADARES,MG
3203908.0,NOVA VENÉCIA,ES
2903201.0,BARREIRAS,BA
3304201.0,RESENDE,RJ
3300100.0,ANGRA DOS REIS,RJ
4109807.0,MARECHAL CÂNDIDO RONDON,PR
4311403.0,LAJEADO,RS
2307304.0,JUAZEIRO DO NORTE,CE
4307906.0,FARROUPILHA,RS
2919207.0,LAURO DE FREITAS,BA
4115804.0,MEDIANEIRA,PR
5217609.0,PLANALTINA,GO
2207702.0,PARNAÍBA,PI
1100304.0,VILHENA,RO
1100288.0,ROLIM DE MOURA,RO
4104204.0,CAMPO LARGO,PR
3518800.0,GUARULHOS,SP
5101803.0,BARRA DO GARÇAS,MT
4211306.0,NAVEGANTES,SC
5107040.0,PRIMAVERA DO LESTE,MT
1100122.0,JI-PARANÁ,RO
3157807.0,SANTA LUZIA,MG
,RIACHO FUNDO,DF
3147006.0,PARACATU,MG
3552205.0,SOROCABA,SP
5221403.0,TRINDADE,GO
4316402.0,ROSÁRIO DO SUL,RS
4301602.0,BAGÉ,RS
4307708.0,ESTEIO,RS
5105150.0,JUÍNA,MT
2312908.0,SOBRAL,CE
4102109.0,ASTORGA,PR
2604106.0,CARUARU,PE
4307005.0,ERECHIM,RS
4309308.0,GUAÍBA,RS
2914802.0,ITABUNA,BA
,TIMOTEO,MG
3103504.0,ARAGUARI,MG
3300209.0,ARARUAMA,RJ
4204202.0,CHAPECÓ,SC
,MATINHOS,PR
2408003.0,MOSSORÓ,RN
2700300.0,ARAPIRACA,AL
4206306.0,GUABIRUBA,SC
4109609.0,GUARATUBA,PR
2802908.0,ITABAIANA,SE
5212501.0,LUZIÂNIA,GO
4114609.0,SAQUAREMA,RJ
3115300.0,CATAGUASES,MG
2910727.0,EUNÁPOLIS,BA
3138401.0,LEOPOLDINA,MG
3171204.0,VESPASIANO,MG
3300407.0,BARRA MANSA,RJ
4104303.0,CAMPO MOURÃO,PR
4112108.0,JANDAIA DO SUL,PR
1718204.0,PORTO NACIONAL,TO
4306767.0,ELDORADO DO SUL,RS
,FLORES DA CUNHA,RS
3301306.0,CASIMIRO DE ABREU,RJ
,FAZENDA RIO GRANDE,PR
,CAMPINA GRANDE DO SUL,PR
1716109.0,PARAÍSO DO TOCANTINS,TO
3204708.0,SÃO GABRIEL DA PALHA,ES
3549904.0,SÃO JOSÉ DOS CAMPOS,SP
3163706.0,SÃO LOURENÇO,MG
,VIANA,ES
2611101.0,PETROLINA,PE
,PARANOA,DF
,ITAIPAVA,RJ
,CORONEL FABRICIANO,MG
4126256.0,SARANDI,PR
,IRATI,PR
5221858.0,VALPARAÍSO DE GOIÁS,GO
,CORREIAS,RJ
,VOTORANTIM,SP
3302858.0,MESQUITA,RJ
2918001.0,JEQUIÉ,BA
2602902.0,CABO DE SANTO AGOSTINHO,PE
5107909.0,SINOP,MT
,CASTRO,PR
4207007.0,IÇARA,SC
,CAMPO BOM,RS
2930709.0,SIMÕES FILHO,BA
,QUATRO BARRAS,PR
4117503.0,PAIÇANDU,PR
,BRAZLANDIA,DF
4108403.0,FRANCISCO BELTRÃO,PR
4105508.0,CIANORTE,PR
,JUNDIAÍ,SP
,MONTENEGRO,RS
3136207.0,JOÃO MONLEVADE,MG
4216602.0,SÃO JOSÉ,SC
2610707.0,PAULISTA,PE
4117602.0,PALMAS,PR
,TOLEDO,PR
3156700.0,SABARÁ,MG
4208500.0,ITUPORANGA,SC
4125803.0,SÃO PEDRO DO IVAÍ,PR
5106752.0,PONTES E LACERDA,MT
,CAMINHO DE BUZIOS,RJ
,CARAPINA,ES
,RECANTO DAS EMAS,DF
,SANTO ANTONIO DA PLATINA,PR
4128500.0,WENCESLAU BRAZ,PR
,INDAIAL,SC
,MOGI DAS CRUZES,SP
3148103.0,PATROCÍNIO,MG
,TAQUARA,RS
4318804.0,SÃO LOURENÇO DO SUL,RS
2307650.0,MARACANAÚ,CE
2203909.0,FLORIANO,PI
4101101.0,ANDIRÁ,PR
2917508.0,JACOBINA,BA
,TIMON,MA
2704708.0,MARECHAL DEODORO,AL
3115508.0,CAXAMBU,MG
3303609.0,PARACAMBI,RJ
1100189.0,PIMENTA BUENO,RO
4126009.0,SÃO SEBASTIÃO DA AMOREIRA,PR
,OURO PRETO DO OESTE,RO
,JUNDIAI,SP
